utc,filter,pm,lat,lon,device
1405626217,10,0.010,37.802580,-122.294705,A
1405626218,10,0.009,37.802583,-122.294713,A
1405626219,10,0.008,37.802563,-122.294703,A
1405626220,10,0.008,37.802540,-122.294700,A
1405626221,10,0.009,37.802525,-122.294707,A
1405626222,10,0.007,37.802515,-122.294707,A
1405626223,10,0.007,37.802488,-122.294688,A
1405626224,10,0.008,37.802477,-122.294692,A
1405626225,10,0.008,37.802477,-122.294682,A
1405626226,10,0.008,37.802477,-122.294683,A
1405626227,10,0.008,37.802485,-122.294700,A
1405626228,10,0.008,37.802490,-122.294727,A
1405626229,10,0.008,37.802490,-122.294742,A
1405626230,10,0.008,37.802485,-122.294762,A
1405626231,10,0.008,37.802487,-122.294783,A
1405626232,10,0.007,37.802472,-122.294785,A
1405626233,10,0.008,37.802443,-122.294777,A
1405626234,10,0.009,37.802445,-122.294783,A
1405626235,10,0.008,37.802427,-122.294797,A
1405626236,10,0.008,37.802420,-122.294813,A
1405626237,10,0.008,37.802405,-122.294818,A
1405626238,10,0.009,37.802393,-122.294827,A
1405626239,10,0.009,37.802380,-122.294855,A
1405626240,10,0.008,37.802385,-122.294872,A
1405626241,10,0.007,37.802382,-122.294893,A
1405626242,10,0.007,37.802392,-122.294915,A
1405626243,10,0.009,37.802378,-122.294935,A
1405626244,10,0.009,37.802373,-122.294945,A
1405626245,10,0.008,37.802367,-122.294948,A
1405626246,10,0.009,37.802357,-122.294932,A
1405626247,10,0.009,37.802357,-122.294930,A
1405626248,10,0.008,37.802358,-122.294927,A
1405626249,10,0.008,37.802358,-122.294925,A
1405626250,10,0.009,37.802360,-122.294923,A
1405626251,10,0.009,37.802360,-122.294922,A
1405626252,10,0.009,37.802362,-122.294918,A
1405626253,10,0.008,37.802362,-122.294917,A
1405626254,10,0.008,37.802363,-122.294915,A
1405626255,10,0.008,37.802363,-122.294912,A
1405626256,10,0.009,37.802365,-122.294910,A
1405626257,10,0.009,37.802365,-122.294908,A
1405626258,10,0.010,37.802367,-122.294905,A
1405626259,10,0.010,37.802367,-122.294903,A
1405626260,10,0.008,37.802368,-122.294902,A
1405626261,10,0.008,37.802368,-122.294902,A
1405626307,10,0.010,37.802408,-122.294990,A
1405626308,10,0.010,37.802408,-122.294990,A
1405626309,10,0.010,37.802323,-122.294850,A
1405626310,10,0.009,37.802287,-122.294802,A
1405626311,10,0.009,37.802258,-122.294762,A
1405626312,10,0.010,37.802363,-122.294847,A
1405626313,10,0.010,37.802782,-122.295285,A
1405626314,10,0.011,37.802707,-122.295180,A
1405626315,10,0.011,37.802685,-122.295150,A
1405626316,10,0.010,37.802688,-122.295180,A
1405626317,10,0.011,37.802667,-122.295173,A
1405626318,10,0.010,37.802668,-122.295193,A
1405626319,10,0.010,37.802678,-122.295208,A
1405626320,10,0.010,37.802655,-122.295208,A
1405626321,10,0.009,37.802640,-122.295220,A
1405626322,10,0.009,37.802612,-122.295238,A
1405626323,10,0.010,37.802612,-122.295238,A
1405626324,10,0.011,37.802618,-122.295242,A
1405626325,10,0.011,37.802622,-122.295242,A
1405626326,10,0.010,37.802618,-122.295237,A
1405626327,10,0.011,37.802628,-122.295245,A
1405626328,10,0.011,37.802623,-122.295252,A
1405626329,10,0.011,37.802608,-122.295245,A
1405626330,10,0.010,37.802600,-122.295255,A
1405626331,10,0.011,37.802575,-122.295245,A
1405626332,10,0.011,37.802558,-122.295235,A
1405626333,10,0.011,37.802538,-122.295223,A
1405626334,10,0.012,37.802517,-122.295215,A
1405626335,10,0.011,37.802483,-122.295212,A
1405626336,10,0.012,37.802468,-122.295212,A
1405626337,10,0.011,37.802448,-122.295200,A
1405626338,10,0.011,37.802448,-122.295200,A
1405626339,10,0.012,37.802457,-122.295200,A
1405626340,10,0.014,37.802457,-122.295198,A
1405626341,10,0.013,37.802442,-122.295193,A
1405626342,10,0.013,37.802455,-122.295202,A
1405626343,10,0.013,37.802447,-122.295205,A
1405626344,10,0.013,37.802458,-122.295222,A
1405626345,10,0.012,37.802477,-122.295230,A
1405626346,10,0.013,37.802492,-122.295235,A
1405626347,10,0.013,37.802485,-122.295238,A
1405626348,10,0.011,37.802480,-122.295233,A
1405626349,10,0.012,37.802470,-122.295227,A
1405626350,10,0.012,37.802460,-122.295222,A
1405626351,10,0.011,37.802452,-122.295225,A
1405626352,10,0.011,37.802458,-122.295212,A
1405626353,10,0.012,37.802458,-122.295212,A
1405626354,10,0.012,37.802465,-122.295208,A
1405626355,10,0.012,37.802450,-122.295188,A
1405626356,10,0.011,37.802440,-122.295187,A
1405626357,10,0.011,37.802430,-122.295183,A
1405626358,10,0.011,37.802420,-122.295180,A
1405626359,10,0.011,37.802410,-122.295178,A
1405626360,10,0.011,37.802400,-122.295175,A
1405626361,10,0.011,37.802390,-122.295172,A
1405626362,10,0.011,37.802380,-122.295168,A
1405626363,10,0.011,37.802370,-122.295167,A
1405626364,10,0.011,37.802360,-122.295163,A
1405626365,10,0.011,37.802350,-122.295160,A
1405626366,10,0.011,37.802340,-122.295158,A
1405626367,10,0.011,37.802330,-122.295155,A
1405626368,10,0.011,37.802320,-122.295152,A
1405626369,10,0.011,37.802310,-122.295150,A
1405626370,10,0.011,37.802310,-122.295150,A
1405626392,10,0.008,37.803097,-122.295583,A
1405626393,10,0.009,37.803097,-122.295583,A
1405626394,10,0.009,37.802822,-122.295352,A
1405626395,10,0.010,37.802842,-122.295365,A
1405626396,10,0.009,37.802633,-122.295198,A
1405626397,10,0.008,37.802635,-122.295208,A
1405626398,10,0.008,37.802333,-122.294922,A
1405626399,10,0.009,37.802313,-122.294915,A
1405626400,10,0.009,37.801972,-122.294658,A
1405626401,10,0.011,37.802123,-122.294797,A
1405626402,10,0.013,37.802247,-122.295012,A
1405626403,10,0.009,37.802247,-122.295012,A
1405626404,10,0.009,37.802153,-122.294948,A
1405626405,10,0.008,37.802312,-122.295128,A
1405626406,10,0.008,37.802378,-122.295222,A
1405626407,10,0.008,37.802413,-122.295277,A
1405626408,10,0.008,37.802348,-122.295242,A
1405626409,10,0.009,37.802308,-122.295222,A
1405626410,10,0.009,37.802242,-122.295172,A
1405626411,10,0.010,37.802248,-122.295185,A
1405626412,10,0.010,37.802240,-122.295167,A
1405626413,10,0.009,37.802253,-122.295175,A
1405626414,10,0.009,37.802260,-122.295173,A
1405626415,10,0.009,37.802243,-122.295145,A
1405626416,10,0.009,37.802227,-122.295112,A
1405626417,10,0.009,37.802247,-122.295143,A
1405626418,10,0.009,37.802357,-122.295265,A
1405626419,10,0.009,37.802453,-122.295357,A
1405626420,10,0.009,37.802518,-122.295432,A
1405626421,10,0.010,37.802577,-122.295513,A
1405626422,10,0.009,37.802698,-122.295660,A
1405626423,10,0.008,37.802655,-122.295612,A
1405626424,10,0.008,37.802657,-122.295622,A
1405626425,10,0.008,37.802583,-122.295563,A
1405626426,10,0.008,37.802538,-122.295540,A
1405626427,10,0.008,37.802548,-122.295562,A
1405626428,10,0.008,37.802515,-122.295548,A
1405626429,10,0.008,37.802525,-122.295572,A
1405626430,10,0.008,37.802460,-122.295518,A
1405626431,10,0.008,37.802415,-122.295483,A
1405626432,10,0.008,37.802430,-122.295512,A
1405626433,10,0.008,37.802397,-122.295472,A
1405626434,10,0.009,37.802392,-122.295477,A
1405626435,10,0.008,37.802223,-122.295317,A
1405626436,10,0.008,37.802143,-122.295238,A
1405626437,10,0.007,37.802102,-122.295207,A
1405626438,10,0.007,37.802440,-122.295580,A
1405626439,10,0.008,37.802393,-122.295550,A
1405626440,10,0.009,37.802397,-122.295553,A
1405626441,10,0.008,37.802410,-122.295563,A
1405626442,10,0.008,37.802393,-122.295550,A
1405626443,10,0.008,37.802382,-122.295552,A
1405626444,10,0.007,37.802392,-122.295570,A
1405626445,10,0.008,37.802410,-122.295593,A
1405626446,10,0.008,37.802408,-122.295608,A
1405626447,10,0.008,37.802413,-122.295625,A
1405626448,10,0.007,37.802420,-122.295643,A
1405626449,10,0.009,37.802412,-122.295652,A
1405626450,10,0.009,37.802420,-122.295655,A
1405626451,10,0.009,37.802437,-122.295650,A
1405626452,10,0.008,37.802445,-122.295653,A
1405626453,10,0.008,37.802467,-122.295667,A
1405626454,10,0.008,37.802478,-122.295687,A
1405626455,10,0.008,37.802468,-122.295702,A
1405626456,10,0.008,37.802462,-122.295708,A
1405626457,10,0.008,37.802455,-122.295710,A
1405626458,10,0.007,37.802468,-122.295720,A
1405626459,10,0.007,37.802463,-122.295727,A
1405626460,10,0.007,37.802468,-122.295740,A
1405626461,10,0.007,37.802468,-122.295748,A
1405626462,10,0.007,37.802478,-122.295773,A
1405626463,10,0.007,37.802485,-122.295775,A
1405626464,10,0.007,37.802483,-122.295778,A
1405626465,10,0.009,37.802477,-122.295787,A
1405626466,10,0.010,37.802487,-122.295790,A
1405626467,10,0.007,37.802495,-122.295800,A
1405626468,10,0.007,37.802502,-122.295808,A
1405626469,10,0.007,37.802518,-122.295817,A
1405626470,10,0.007,37.802537,-122.295817,A
1405626471,10,0.006,37.802552,-122.295820,A
1405626472,10,0.007,37.802560,-122.295825,A
1405626473,10,0.007,37.802557,-122.295827,A
1405626474,10,0.007,37.802548,-122.295840,A
1405626475,10,0.007,37.802548,-122.295848,A
1405626476,10,0.007,37.802552,-122.295853,A
1405626477,10,0.007,37.802562,-122.295857,A
1405626478,10,0.006,37.802578,-122.295853,A
1405626479,10,0.007,37.802597,-122.295850,A
1405626480,10,0.008,37.802600,-122.295833,A
1405626481,10,0.007,37.802612,-122.295828,A
1405626482,10,0.006,37.802625,-122.295832,A
1405626483,10,0.006,37.802622,-122.295840,A
1405626484,10,0.007,37.802612,-122.295845,A
1405626485,10,0.007,37.802603,-122.295842,A
1405626486,10,0.007,37.802605,-122.295848,A
1405626487,10,0.006,37.802600,-122.295857,A
1405626488,10,0.006,37.802582,-122.295870,A
1405626489,10,0.007,37.802583,-122.295885,A
1405626490,10,0.007,37.802568,-122.295892,A
1405626491,10,0.006,37.802558,-122.295897,A
1405626492,10,0.007,37.802548,-122.295902,A
1405626493,10,0.006,37.802538,-122.295895,A
1405626494,10,0.007,37.802520,-122.295888,A
1405626495,10,0.006,37.802528,-122.295890,A
1405626496,10,0.006,37.802532,-122.295892,A
1405626497,10,0.006,37.802523,-122.295887,A
1405626498,10,0.006,37.802513,-122.295883,A
1405626499,10,0.006,37.802508,-122.295883,A
1405626500,10,0.007,37.802502,-122.295882,A
1405626501,10,0.007,37.802495,-122.295880,A
1405626502,10,0.006,37.802490,-122.295870,A
1405626503,10,0.006,37.802480,-122.295860,A
1405626504,10,0.006,37.802472,-122.295855,A
